epoch,optimizer,experiment,collocation,data,total
0,Adam,test,5.0068827,0.22732395,5.2342067
0,Adam,train,5.0065684,0.24667159,5.25324
10,Adam,test,0.76598257,0.2171375,0.9831201
10,Adam,train,0.76605284,0.23933086,1.0053837
20,Adam,test,0.002313586,0.2466718,0.24898538
20,Adam,train,0.0023283025,0.26131785,0.26364616
30,Adam,test,0.09754985,0.23226301,0.32981285
30,Adam,train,0.09758226,0.26051587,0.35809812
40,Adam,test,0.01721336,0.21432516,0.23153852
40,Adam,train,0.017243894,0.23195042,0.24919431
50,Adam,test,0.0019948299,0.19740652,0.19940135
50,Adam,train,0.0019747547,0.21740466,0.21937943
60,Adam,test,0.00695774,0.18196468,0.18892242
60,Adam,train,0.006862927,0.20077801,0.20764093
70,Adam,test,0.007154151,0.15924583,0.16639999
70,Adam,train,0.0070522544,0.17462388,0.18167613
80,Adam,test,0.012508898,0.12636966,0.13887855
80,Adam,train,0.012521435,0.13786697,0.1503884
90,Adam,test,0.0269164,0.08851983,0.115436226
90,Adam,train,0.027089246,0.095855944,0.12294519
100,Adam,test,0.043761943,0.06235524,0.10611718
100,Adam,train,0.043437585,0.067046314,0.1104839
110,Adam,test,0.045672536,0.054164086,0.09983662
110,Adam,train,0.04579384,0.058335386,0.104129225
120,Adam,test,0.045475602,0.04937399,0.094849594
120,Adam,train,0.04568604,0.053403888,0.09908993
130,Adam,test,0.04766949,0.044408455,0.09207794
130,Adam,train,0.047571782,0.04801384,0.09558562
140,Adam,test,0.048822384,0.040994518,0.0898169
140,Adam,train,0.04865061,0.04410788,0.09275849
150,Adam,test,0.04692673,0.040059336,0.086986065
150,Adam,train,0.047202513,0.04313031,0.09033282
160,Adam,test,0.04864544,0.038343854,0.0869893
160,Adam,train,0.0487493,0.041057684,0.08980699
170,Adam,test,0.048640195,0.036841538,0.08548173
170,Adam,train,0.049229722,0.03941411,0.088643834
180,Adam,test,0.04910763,0.036344558,0.085452184
180,Adam,train,0.048700154,0.038851667,0.08755182
190,Adam,test,0.04845697,0.03583001,0.08428698
190,Adam,train,0.049193796,0.038231827,0.08742562
200,Adam,test,0.049632505,0.035338607,0.084971115
200,Adam,train,0.04832165,0.0376776,0.08599925
210,Adam,test,0.0468604,0.035646,0.0825064
210,Adam,train,0.048122004,0.03805412,0.08617613
220,Adam,test,0.047666047,0.035360694,0.08302674
220,Adam,train,0.047916546,0.03766973,0.08558628
230,Adam,test,0.048249803,0.03477098,0.083020784
230,Adam,train,0.047992546,0.03711647,0.08510902
240,Adam,test,0.047900673,0.034568787,0.08246946
240,Adam,train,0.047561765,0.036788903,0.08435067
250,Adam,test,0.047102686,0.034051295,0.08115398
250,Adam,train,0.04773392,0.03620893,0.08394285
260,Adam,test,0.047290664,0.03364806,0.08093873
260,Adam,train,0.047647927,0.035912782,0.083560705
270,Adam,test,0.047015686,0.03333109,0.08034678
270,Adam,train,0.04780341,0.035633687,0.0834371
280,Adam,test,0.046305552,0.033490557,0.079796106
280,Adam,train,0.046626262,0.03578588,0.08241214
290,Adam,test,0.04727886,0.033208504,0.08048736
290,Adam,train,0.046736065,0.03543497,0.08217104
300,Adam,test,0.047105998,0.03236904,0.07947504
300,Adam,train,0.046340276,0.034556545,0.080896825
310,Adam,test,0.045633808,0.032887287,0.078521095
310,Adam,train,0.046310432,0.035118658,0.081429094
320,Adam,test,0.046102855,0.032764517,0.078867376
320,Adam,train,0.045360144,0.03501087,0.080371015
330,Adam,test,0.04507212,0.03242728,0.077499405
330,Adam,train,0.04574693,0.034631692,0.08037862
340,Adam,test,0.045438256,0.03161673,0.077054985
340,Adam,train,0.04545421,0.03393568,0.07938989
350,Adam,test,0.044683676,0.031690042,0.07637372
350,Adam,train,0.044670463,0.033963792,0.078634255
360,Adam,test,0.044427525,0.03150288,0.0759304
360,Adam,train,0.04440507,0.033781283,0.07818635
370,Adam,test,0.044152986,0.03180254,0.075955525
