epoch,optimizer,experiment,collocation,data,total
0,Adam,test,2.0402799,3.689654,5.7299337
0,Adam,train,2.0402296,3.6841688,5.7243986
10,Adam,test,0.40155536,0.23564574,0.6372011
10,Adam,train,0.40143052,0.20958973,0.61102027
20,Adam,test,0.14444187,0.322265,0.46670687
20,Adam,train,0.14450411,0.2973887,0.4418928
30,Adam,test,0.046101365,0.2068589,0.25296026
30,Adam,train,0.04616259,0.18685345,0.23301604
40,Adam,test,0.010226496,0.19928716,0.20951366
40,Adam,train,0.010243017,0.18077058,0.19101359
50,Adam,test,0.0011520821,0.1867547,0.18790679
50,Adam,train,0.0011510347,0.1682936,0.16944464
60,Adam,test,5.7146925e-05,0.18385845,0.1839156
60,Adam,train,5.7101737e-05,0.16602013,0.16607723
70,Adam,test,2.7107226e-05,0.17790735,0.17793445
70,Adam,train,2.6933e-05,0.16158737,0.1616143
80,Adam,test,4.808699e-05,0.17341149,0.17345957
80,Adam,train,4.7873607e-05,0.15818596,0.15823384
90,Adam,test,9.862864e-05,0.16875757,0.1688562
90,Adam,train,9.97756e-05,0.15457012,0.1546699
100,Adam,test,0.0001777085,0.16411856,0.16429627
100,Adam,train,0.0001778995,0.15154709,0.151725
110,Adam,test,0.00027288296,0.16105351,0.1613264
110,Adam,train,0.00027728477,0.14947937,0.14975666
120,Adam,test,0.0003413337,0.15878229,0.15912363
120,Adam,train,0.00034344298,0.1479667,0.14831014
130,Adam,test,0.0003650121,0.1570516,0.15741661
130,Adam,train,0.00037565696,0.14651965,0.1468953
140,Adam,test,0.00038998504,0.1555348,0.15592478
140,Adam,train,0.0003919558,0.14504299,0.14543495
150,Adam,test,0.0004443203,0.15407172,0.15451604
150,Adam,train,0.00044365448,0.14350058,0.14394423
160,Adam,test,0.0005165415,0.1524145,0.15293105
160,Adam,train,0.0005212506,0.1418382,0.14235945
170,Adam,test,0.0006075442,0.1504501,0.15105765
170,Adam,train,0.0006159017,0.1399304,0.14054629
180,Adam,test,0.0007576037,0.14797622,0.14873382
180,Adam,train,0.0007586347,0.13779639,0.13855502
190,Adam,test,0.00094151084,0.14508878,0.14603029
190,Adam,train,0.0009484117,0.1354814,0.13642982
200,Adam,test,0.0011772859,0.14214318,0.14332046
200,Adam,train,0.0011865844,0.13297406,0.13416064
210,Adam,test,0.0014803446,0.13889569,0.14037603
210,Adam,train,0.0014713033,0.13027054,0.13174184
220,Adam,test,0.0017797505,0.13564104,0.13742079
220,Adam,train,0.0017757769,0.12740575,0.12918152
230,Adam,test,0.0021641066,0.13226433,0.13442844
230,Adam,train,0.0021535063,0.12445068,0.12660418
240,Adam,test,0.0026334166,0.12893753,0.13157095
240,Adam,train,0.002593917,0.121509485,0.124103405
250,Adam,test,0.0030527846,0.12562874,0.12868153
250,Adam,train,0.003085685,0.1186245,0.12171019
260,Adam,test,0.003529784,0.1223754,0.12590519
260,Adam,train,0.0035629317,0.11580004,0.11936297
270,Adam,test,0.0039810105,0.119140156,0.123121165
270,Adam,train,0.0039810883,0.11300551,0.1169866
280,Adam,test,0.00457384,0.11596442,0.12053826
280,Adam,train,0.004527926,0.11021054,0.114738464
290,Adam,test,0.0050744545,0.11270836,0.11778282
290,Adam,train,0.005017894,0.10733514,0.112353034
300,Adam,test,0.005661139,0.10911634,0.114777476
300,Adam,train,0.0054548713,0.10412888,0.10958375
310,Adam,test,0.006495599,0.104660705,0.11115631
310,Adam,train,0.0064205565,0.099971,0.10639155
320,Adam,test,0.008182206,0.097766384,0.10594859
320,Adam,train,0.008206215,0.09309113,0.10129735
330,Adam,test,0.010104534,0.09201285,0.10211739
330,Adam,train,0.010422741,0.087402314,0.09782506
340,Adam,test,0.012336829,0.08726555,0.09960238
340,Adam,train,0.012195134,0.08264371,0.09483884
350,Adam,test,0.013791773,0.082886,0.09667777
350,Adam,train,0.013738135,0.07847399,0.092212126
360,Adam,test,0.0146930115,0.07982455,0.094517566
360,Adam,train,0.014770126,0.07511655,0.08988668
370,Adam,test,0.014990365,0.07642091,0.09141128
370,Adam,train,0.01488661,0.07219062,0.08707723
380,Adam,test,0.0157532,0.072618745,0.08837195
380,Adam,train,0.015249821,0.068840854,0.08409067
390,Adam,test,0.016274443,0.06875946,0.0850339
390,Adam,train,0.016140874,0.06513729,0.08127816
400,Adam,test,0.016900573,0.06360016,0.08050074
400,Adam,train,0.01704444,0.060792428,0.07783687
410,Adam,test,0.018058922,0.059037097,0.077096015
