epoch,optimizer,experiment,collocation,data,total
0,Adam,test,0.00036477318,1.3975217,1.3978865
0,Adam,train,0.00036472452,1.391828,1.3921927
10,Adam,test,0.00339591,0.21168508,0.21508099
10,Adam,train,0.003404394,0.21288563,0.21629003
20,Adam,test,0.0066441437,0.0013842522,0.0080283955
20,Adam,train,0.006641467,0.0013789532,0.008020421
30,Adam,test,0.0048249513,0.022097459,0.02692241
30,Adam,train,0.0048175473,0.022123655,0.026941203
40,Adam,test,0.00042025573,0.004485175,0.0049054306
40,Adam,train,0.00042218008,0.0044807033,0.0049028834
50,Adam,test,9.092594e-06,0.0014602472,0.0014693398
50,Adam,train,8.9288205e-06,0.001456919,0.0014658478
60,Adam,test,2.3743092e-05,0.001897729,0.0019214721
60,Adam,train,2.3893657e-05,0.0019076865,0.0019315801
70,Adam,test,1.3718691e-05,0.00085797487,0.00087169354
70,Adam,train,1.37509405e-05,0.00085662823,0.00087037915
80,Adam,test,6.1512023e-06,0.00075439067,0.0007605419
80,Adam,train,6.2002e-06,0.00075403694,0.00076023716
90,Adam,test,7.853741e-06,0.0007597552,0.00076760893
90,Adam,train,7.862489e-06,0.0007622784,0.0007701409
100,Adam,test,8.536152e-06,0.0007138538,0.00072238996
100,Adam,train,8.418795e-06,0.00071329455,0.00072171335
110,Adam,test,6.052895e-06,0.0006862723,0.0006923252
110,Adam,train,6.076418e-06,0.00068677496,0.0006928514
120,Adam,test,4.2864413e-06,0.00067499874,0.00067928515
120,Adam,train,4.350688e-06,0.0006752834,0.00067963405
130,Adam,test,4.2007073e-06,0.0006661153,0.00067031605
130,Adam,train,3.9791953e-06,0.0006658365,0.0006698157
140,Adam,test,3.5507574e-06,0.00065711676,0.00066066755
140,Adam,train,3.6276363e-06,0.00065713713,0.00066076475
150,Adam,test,3.2346315e-06,0.0006500322,0.00065326685
150,Adam,train,3.3047324e-06,0.0006496695,0.00065297424
160,Adam,test,2.988262e-06,0.00064365525,0.0006466435
160,Adam,train,3.032428e-06,0.00064335414,0.0006463866
170,Adam,test,2.805714e-06,0.0006383376,0.0006411433
170,Adam,train,2.7980946e-06,0.0006379412,0.0006407393
