epoch,optimizer,experiment,collocation,data,total
0,Adam,test,1.8880013,0.48536134,2.3733625
0,Adam,train,1.8881809,0.49809507,2.386276
10,Adam,test,0.47069013,0.31367886,0.784369
10,Adam,train,0.47082153,0.30392024,0.77474177
20,Adam,test,0.18231243,0.30232033,0.48463276
20,Adam,train,0.18234931,0.29616004,0.47850937
30,Adam,test,0.026061993,0.29637742,0.3224394
30,Adam,train,0.02603899,0.28817204,0.314211
40,Adam,test,0.0010549297,0.2822463,0.28330123
40,Adam,train,0.0010462394,0.27663618,0.27768242
50,Adam,test,0.0042262883,0.2577469,0.2619732
50,Adam,train,0.004234048,0.25049978,0.25473383
60,Adam,test,0.008883606,0.21348803,0.22237164
60,Adam,train,0.008725057,0.20803113,0.2167562
70,Adam,test,0.02501508,0.15727231,0.1822874
70,Adam,train,0.024727317,0.1514467,0.17617401
80,Adam,test,0.04778802,0.12219034,0.16997837
80,Adam,train,0.047263052,0.114094,0.16135705
90,Adam,test,0.046703257,0.11780732,0.16451058
90,Adam,train,0.046923514,0.11116204,0.15808555
100,Adam,test,0.04818632,0.114299245,0.16248557
100,Adam,train,0.04805878,0.10762068,0.15567946
110,Adam,test,0.04525372,0.1154744,0.16072813
110,Adam,train,0.04578546,0.10830364,0.1540891
120,Adam,test,0.04634267,0.11322093,0.1595636
120,Adam,train,0.04622271,0.10603589,0.1522586
130,Adam,test,0.045653775,0.11198654,0.15764031
130,Adam,train,0.04632556,0.10485879,0.15118435
140,Adam,test,0.04557362,0.11121489,0.15678851
140,Adam,train,0.045410816,0.10472329,0.1501341
150,Adam,test,0.045152385,0.11055094,0.15570332
150,Adam,train,0.04512219,0.10407153,0.14919372
160,Adam,test,0.045653157,0.10913915,0.15479231
160,Adam,train,0.045846365,0.10182701,0.14767337
170,Adam,test,0.04583022,0.107881874,0.1537121
170,Adam,train,0.0458195,0.101048596,0.1468681
180,Adam,test,0.045234554,0.10697146,0.152206
180,Adam,train,0.04554134,0.10002447,0.14556581
190,Adam,test,0.04600301,0.105734274,0.15173729
190,Adam,train,0.045168884,0.098925605,0.1440945
200,Adam,test,0.045273487,0.10483369,0.15010718
200,Adam,train,0.045302488,0.098134704,0.14343719
210,Adam,test,0.04603246,0.10464939,0.15068185
210,Adam,train,0.04588838,0.09742005,0.14330843
220,Adam,test,0.04542921,0.10368235,0.14911155
220,Adam,train,0.04478566,0.09747613,0.14226179
230,Adam,test,0.044459622,0.10296208,0.1474217
230,Adam,train,0.04517575,0.096718594,0.14189434
240,Adam,test,0.046151638,0.10176646,0.1479181
240,Adam,train,0.045792777,0.09526059,0.14105336
250,Adam,test,0.04571767,0.10102516,0.14674282
250,Adam,train,0.04522893,0.09445729,0.13968623
260,Adam,test,0.04560033,0.10039065,0.14599098
260,Adam,train,0.04523345,0.093713015,0.13894647
270,Adam,test,0.044724002,0.0999163,0.1446403
270,Adam,train,0.04499201,0.09324331,0.13823532
280,Adam,test,0.045242798,0.09953653,0.14477932
280,Adam,train,0.044648282,0.09293506,0.13758335
290,Adam,test,0.04381371,0.09952043,0.14333414
290,Adam,train,0.043443546,0.09329877,0.13674232
300,Adam,test,0.04365381,0.098962545,0.14261636
300,Adam,train,0.044152815,0.09226756,0.13642037
310,Adam,test,0.043415684,0.09871278,0.14212847
310,Adam,train,0.04300039,0.09251221,0.1355126
320,Adam,test,0.043074615,0.09808658,0.1411612
320,Adam,train,0.04273442,0.09156161,0.13429603
330,Adam,test,0.043151256,0.097450696,0.14060195
330,Adam,train,0.043456562,0.09052839,0.13398495
340,Adam,test,0.042994328,0.097223096,0.14021742
340,Adam,train,0.04221995,0.09025229,0.13247225
350,Adam,test,0.042335976,0.09688579,0.13922177
350,Adam,train,0.0414629,0.089921206,0.1313841
360,Adam,test,0.041046042,0.096593566,0.13763961
360,Adam,train,0.041437864,0.08988165,0.13131952
370,Adam,test,0.040806953,0.09588309,0.13669004
370,Adam,train,0.040737562,0.08898974,0.1297273
380,Adam,test,0.040353168,0.09578158,0.13613474
380,Adam,train,0.039785042,0.08901305,0.1287981
390,Adam,test,0.038917493,0.09532734,0.13424483
390,Adam,train,0.039520588,0.08822163,0.12774222
400,Adam,test,0.03891932,0.095180735,0.13410005
400,Adam,train,0.03866865,0.08826889,0.12693754
410,Adam,test,0.038274042,0.09459948,0.13287352
410,Adam,train,0.038197752,0.08755751,0.12575527
0,Adam,test,0.002872631,2.1293242,2.132197
0,Adam,train,0.0028672467,2.0593061,2.0621734
10,Adam,test,0.0033255569,0.58357406,0.58689964
10,Adam,train,0.0033421486,0.6040163,0.60735846
20,Adam,test,0.00024749007,0.3070612,0.30730867
20,Adam,train,0.00025076733,0.29899752,0.29924828
30,Adam,test,0.0014361442,0.33370373,0.33513987
30,Adam,train,0.0014410636,0.31984517,0.32128623
40,Adam,test,0.001192108,0.30395657,0.3051487
40,Adam,train,0.0011911853,0.30116755,0.30235875
50,Adam,test,0.00050470093,0.29759493,0.29809964
50,Adam,train,0.0005073706,0.2914539,0.29196128
60,Adam,test,0.0003162752,0.29615542,0.2964717
60,Adam,train,0.00031804974,0.28764495,0.287963
70,Adam,test,0.00043160067,0.28593755,0.28636914
70,Adam,train,0.0004306487,0.28000543,0.28043607
80,Adam,test,0.0008450092,0.2762576,0.27710262
80,Adam,train,0.0008329225,0.26885888,0.2696918
90,Adam,test,0.0019423732,0.25882566,0.26076803
90,Adam,train,0.001968457,0.25206232,0.25403076
100,Adam,test,0.005076631,0.23392035,0.23899698
100,Adam,train,0.0050397557,0.226577,0.23161675
110,Adam,test,0.012571123,0.20064598,0.21321711
110,Adam,train,0.012420825,0.19335455,0.20577537
120,Adam,test,0.025084566,0.16555473,0.1906393
120,Adam,train,0.025270283,0.15823726,0.18350755
130,Adam,test,0.035781603,0.14063041,0.17641202
130,Adam,train,0.036022864,0.13225506,0.16827792
140,Adam,test,0.041228216,0.12816808,0.1693963
140,Adam,train,0.040263914,0.11941474,0.15967865
150,Adam,test,0.04393756,0.12003303,0.16397059
150,Adam,train,0.04326218,0.112056255,0.15531844
160,Adam,test,0.04369882,0.11726282,0.16096164
160,Adam,train,0.043598577,0.109456934,0.15305552
170,Adam,test,0.04396908,0.11419615,0.15816523
170,Adam,train,0.044025864,0.106626034,0.1506519
180,Adam,test,0.045012753,0.112104855,0.1571176
180,Adam,train,0.04391017,0.104480386,0.14839056
190,Adam,test,0.043620076,0.11025415,0.15387423
190,Adam,train,0.043402728,0.10299845,0.14640118
200,Adam,test,0.04374848,0.10785595,0.15160443
200,Adam,train,0.044133615,0.1006273,0.14476092
210,Adam,test,0.04399793,0.10594372,0.14994165
210,Adam,train,0.044257708,0.098728776,0.14298648
220,Adam,test,0.04375042,0.10411395,0.14786437
220,Adam,train,0.043394007,0.09706325,0.14045726
230,Adam,test,0.043306544,0.10232075,0.14562729
230,Adam,train,0.043760367,0.095418915,0.13917929
240,Adam,test,0.04300254,0.10082687,0.1438294
240,Adam,train,0.042918555,0.09403616,0.13695472
250,Adam,test,0.042421278,0.0995541,0.14197537
250,Adam,train,0.041834258,0.092821784,0.13465604
260,Adam,test,0.042636972,0.09785473,0.14049171
260,Adam,train,0.041925162,0.090971574,0.13289674
270,Adam,test,0.041056912,0.09637194,0.13742885
270,Adam,train,0.040739268,0.08945775,0.13019702
280,Adam,test,0.03899123,0.09547476,0.13446599
280,Adam,train,0.03955696,0.08849469,0.12805165
290,Adam,test,0.037259877,0.09449794,0.13175783
290,Adam,train,0.037527543,0.08739056,0.1249181
300,Adam,test,0.035867874,0.093254104,0.12912197
300,Adam,train,0.0354619,0.08588284,0.121344745
310,Adam,test,0.033120017,0.09214871,0.12526873
310,Adam,train,0.033049494,0.08460511,0.11765461
320,Adam,test,0.030404687,0.09103046,0.12143515
320,Adam,train,0.030583136,0.08352452,0.11410765
330,Adam,test,0.026863836,0.089867465,0.1167313
330,Adam,train,0.02696132,0.082507014,0.10946833
340,Adam,test,0.02435304,0.08830906,0.1126621
340,Adam,train,0.024062613,0.08080856,0.10487117
350,Adam,test,0.021055788,0.08700676,0.10806255
350,Adam,train,0.020974014,0.07970657,0.10068059
360,Adam,test,0.01756084,0.08621899,0.10377983
360,Adam,train,0.017623544,0.07912759,0.09675113
370,Adam,test,0.015301681,0.0853319,0.100633584
370,Adam,train,0.015318481,0.078058854,0.09337734
380,Adam,test,0.012770282,0.08449584,0.09726612
380,Adam,train,0.012785254,0.077268586,0.09005384
390,Adam,test,0.010723538,0.083758734,0.09448227
390,Adam,train,0.010749528,0.07687816,0.08762769
400,Adam,test,0.009256499,0.08332372,0.092580214
400,Adam,train,0.00929084,0.07646273,0.08575357
410,Adam,test,0.008379369,0.08283475,0.09121412
410,Adam,train,0.008432125,0.07615045,0.084582575
420,Adam,test,0.007483666,0.08243329,0.08991696
420,Adam,train,0.007440135,0.07590096,0.08334109
430,Adam,test,0.006716619,0.08211413,0.08883075
430,Adam,train,0.0065957047,0.07575165,0.08234735
440,Adam,test,0.0062096855,0.08177622,0.0879859
440,Adam,train,0.006220955,0.07551668,0.08173763
450,Adam,test,0.0059778844,0.08158124,0.08755913
450,Adam,train,0.006021347,0.0754031,0.081424445
460,Adam,test,0.0051438445,0.081314065,0.08645791
460,Adam,train,0.0052098683,0.0752894,0.08049927
470,Adam,test,0.0049522575,0.08114333,0.08609559
470,Adam,train,0.004925831,0.07518153,0.08010736
480,Adam,test,0.0052612647,0.08089772,0.08615898
480,Adam,train,0.005216864,0.07502526,0.08024213
490,Adam,test,0.0049959784,0.080751255,0.085747235
490,Adam,train,0.005006604,0.07495541,0.079962015
500,Adam,test,0.0052168425,0.08057639,0.085793234
500,Adam,train,0.005162537,0.07484255,0.08000509
510,Adam,test,0.0041516256,0.08054792,0.08469955
510,Adam,train,0.0041514975,0.07472796,0.07887946
520,Adam,test,0.00463408,0.080333896,0.08496798
520,Adam,train,0.004580035,0.074700154,0.07928019
530,Adam,test,0.0042170864,0.08026088,0.08447797
530,Adam,train,0.0041210353,0.07443385,0.07855488
540,Adam,test,0.003925259,0.08030559,0.08423085
540,Adam,train,0.00394759,0.07441652,0.07836411
550,Adam,test,0.0037334228,0.08007493,0.083808355
550,Adam,train,0.0038095382,0.0743606,0.07817014
560,Adam,test,0.0038805602,0.07995419,0.08383475
