epoch,optimizer,experiment,collocation,data,total
0,Adam,test,8.570668,2.12806,10.698729
0,Adam,train,8.570965,2.1344767,10.705441
10,Adam,test,0.30092224,0.15681852,0.45774078
10,Adam,train,0.30089742,0.15506166,0.45595908
20,Adam,test,0.33989447,0.107973866,0.44786835
20,Adam,train,0.33981678,0.10747694,0.44729373
30,Adam,test,0.045436256,0.0037483997,0.049184654
30,Adam,train,0.045483008,0.0037316566,0.049214665
40,Adam,test,0.020121152,0.0456058,0.06572695
40,Adam,train,0.020132422,0.04528221,0.06541464
50,Adam,test,0.00018505365,0.004334515,0.0045195688
50,Adam,train,0.00018726884,0.0043887296,0.0045759985
60,Adam,test,0.006260417,0.0027220205,0.008982438
60,Adam,train,0.0062654517,0.0027647354,0.0090301875
70,Adam,test,0.0006946418,0.00058754056,0.0012821823
70,Adam,train,0.0006958385,0.00058918825,0.0012850268
80,Adam,test,0.00027481155,0.0011790817,0.0014538933
80,Adam,train,0.0002706752,0.0011649153,0.0014355904
90,Adam,test,8.866943e-05,0.0006321121,0.0007207815
90,Adam,train,8.921032e-05,0.0006486041,0.00073781447
100,Adam,test,5.5174838e-05,0.00049706973,0.0005522446
100,Adam,train,5.5777833e-05,0.0005064785,0.0005622563
110,Adam,test,4.7525085e-05,0.00050527276,0.00055279786
110,Adam,train,4.7365946e-05,0.0005056922,0.00055305817
120,Adam,test,2.5274438e-05,0.00046145555,0.00048673
120,Adam,train,2.527551e-05,0.00046720912,0.0004924846
130,Adam,test,2.8653123e-05,0.00045270604,0.00048135917
130,Adam,train,2.8092485e-05,0.00045857768,0.00048667015
140,Adam,test,2.291512e-05,0.00044542598,0.0004683411
140,Adam,train,2.3110515e-05,0.00044943596,0.00047254647
150,Adam,test,2.0817415e-05,0.00043732193,0.00045813934
150,Adam,train,2.0711952e-05,0.0004417361,0.00046244805
160,Adam,test,1.9938072e-05,0.00043065625,0.00045059432
160,Adam,train,1.9882189e-05,0.00043534947,0.00045523167
170,Adam,test,1.8732191e-05,0.00042535734,0.00044408953
170,Adam,train,1.8630453e-05,0.00042955036,0.00044818083
180,Adam,test,1.781078e-05,0.0004202874,0.00043809818
180,Adam,train,1.7609374e-05,0.00042443283,0.0004420422
190,Adam,test,1.6646807e-05,0.00041585034,0.00043249715
190,Adam,train,1.695843e-05,0.0004198811,0.00043683953
200,Adam,test,1.635345e-05,0.00041202095,0.0004283744
200,Adam,train,1.6124248e-05,0.0004158022,0.00043192646
210,Adam,test,1.5719655e-05,0.00040854453,0.00042426417
210,Adam,train,1.5678666e-05,0.00041213178,0.00042781045
220,Adam,test,1.5391695e-05,0.00040543298,0.00042082468
220,Adam,train,1.51182485e-05,0.00040880963,0.00042392788
230,Adam,test,1.4896377e-05,0.0004026551,0.0004175515
230,Adam,train,1.4855852e-05,0.00040577812,0.00042063397
240,Adam,test,1.4626524e-05,0.00040005587,0.0004146824
240,Adam,train,1.4774576e-05,0.00040298008,0.00041775467
250,Adam,test,1.45610675e-05,0.00039767002,0.00041223108
250,Adam,train,1.443018e-05,0.00040035183,0.000414782
260,Adam,test,1.4200517e-05,0.00039534192,0.00040954244
260,Adam,train,1.4186099e-05,0.0003978353,0.0004120214
270,Adam,test,1.4477732e-05,0.0003930562,0.00040753392
270,Adam,train,1.4229959e-05,0.0003953735,0.00040960347
280,Adam,test,1.42884055e-05,0.00039077963,0.00040506804
280,Adam,train,1.4081952e-05,0.00039293544,0.0004070174
290,Adam,test,1.4498994e-05,0.0003884885,0.0004029875
290,Adam,train,1.4163732e-05,0.00039051118,0.0004046749
300,Adam,test,1.4059576e-05,0.0003862455,0.00040030506
300,Adam,train,1.4348491e-05,0.00038813756,0.00040248604
310,Adam,test,1.4284479e-05,0.000384097,0.00039838147
310,Adam,train,1.445453e-05,0.00038588638,0.0004003409
320,Adam,test,1.4336994e-05,0.0003822042,0.00039654117
320,Adam,train,1.45639415e-05,0.00038385825,0.00039842218
330,Adam,test,1.4928058e-05,0.00038061288,0.00039554093
330,Adam,train,1.4549981e-05,0.00038214034,0.00039669033
340,Adam,test,1.4532374e-05,0.00037938688,0.00039391927
340,Adam,train,1.4804786e-05,0.00038076553,0.00039557033
350,Adam,test,1.4708934e-05,0.00037847558,0.0003931845
350,Adam,train,1.4758238e-05,0.00037970702,0.00039446526
360,Adam,test,1.5273472e-05,0.0003778228,0.0003930963
360,Adam,train,1.477707e-05,0.00037889075,0.0003936678
370,Adam,test,1.4896124e-05,0.00037731839,0.0003922145
370,Adam,train,1.5082806e-05,0.00037824528,0.00039332808
380,Adam,test,1.4777856e-05,0.0003769377,0.00039171556
380,Adam,train,1.4907534e-05,0.00037771012,0.00039261766
390,Adam,test,1.4813995e-05,0.00037660694,0.00039142094
390,Adam,train,1.48653e-05,0.00037724522,0.00039211052
400,Adam,test,1.49977395e-05,0.00037629623,0.00039129396
400,Adam,train,1.498644e-05,0.00037681844,0.00039180488
410,Adam,test,1.4970899e-05,0.00037599326,0.00039096415
410,Adam,train,1.4803186e-05,0.00037641753,0.00039122073
420,Adam,test,1.48404815e-05,0.00037568525,0.00039052573
420,Adam,train,1.4900928e-05,0.00037602423,0.00039092515
430,Adam,test,1.4916259e-05,0.00037538685,0.00039030312
430,Adam,train,1.473825e-05,0.00037564465,0.0003903829
440,Adam,test,1.466034e-05,0.0003750842,0.00038974453
440,Adam,train,1.4797475e-05,0.0003752641,0.00039006156
450,Adam,test,1.4774448e-05,0.00037477422,0.00038954866
450,Adam,train,1.48534755e-05,0.00037488082,0.0003897343
460,Adam,test,1.4732915e-05,0.00037445934,0.00038919225
460,Adam,train,1.47888195e-05,0.00037449904,0.00038928786
470,Adam,test,1.4542411e-05,0.000374134,0.0003886764
470,Adam,train,1.4831471e-05,0.00037411953,0.00038895098
480,Adam,test,1.51772765e-05,0.00037381472,0.000388992
480,Adam,train,1.4537792e-05,0.00037374216,0.00038827996
490,Adam,test,1.4694516e-05,0.00037348448,0.000388179
490,Adam,train,1.465134e-05,0.00037335904,0.00038801038
499,Adam,test,1.4765973e-05,0.00037317156,0.00038793753
499,Adam,train,1.4729952e-05,0.0003730151,0.00038774504
0,LBFGS,test,0.27780265,0.051373407,0.32917607
0,LBFGS,train,0.27770868,0.05200623,0.3297149
10,LBFGS,test,0.001870449,0.0016126484,0.0034830975
10,LBFGS,train,0.0018740911,0.001745001,0.003619092
20,LBFGS,test,7.618942e-05,0.0004888947,0.0005650841
20,LBFGS,train,7.637984e-05,0.00048945594,0.0005658358
30,LBFGS,test,2.9616564e-05,0.00034118543,0.00037080198
30,LBFGS,train,2.975304e-05,0.0003406607,0.00037041376
40,LBFGS,test,3.8695853e-05,0.00024218878,0.00028088462
40,LBFGS,train,4.0524512e-05,0.00023680931,0.00027733383
50,LBFGS,test,4.3829514e-05,0.00021676709,0.0002605966
50,LBFGS,train,4.4072793e-05,0.00021329332,0.0002573661
60,LBFGS,test,nan,nan,nan
60,LBFGS,train,nan,nan,nan
70,LBFGS,test,nan,nan,nan
70,LBFGS,train,nan,nan,nan
80,LBFGS,test,nan,nan,nan
80,LBFGS,train,nan,nan,nan
90,LBFGS,test,nan,nan,nan
90,LBFGS,train,nan,nan,nan
99,LBFGS,test,nan,nan,nan
99,LBFGS,train,nan,nan,nan
0,LBFGS,test,0.00028027405,2.5078459,2.5081263
0,LBFGS,train,0.00028456564,2.5148127,2.5150974
10,LBFGS,test,0.00035322955,0.0067737354,0.007126965
10,LBFGS,train,0.0003554166,0.0075581525,0.007913569
20,LBFGS,test,7.426808e-05,0.0007353088,0.0008095769
20,LBFGS,train,7.4754615e-05,0.00084340986,0.0009181645
30,LBFGS,test,4.541118e-05,0.00028256347,0.00032797465
30,LBFGS,train,4.5397905e-05,0.00029406045,0.00033945835
40,LBFGS,test,4.4394063e-05,0.00023254528,0.00027693933
40,LBFGS,train,4.4554257e-05,0.00023143408,0.00027598834
49,LBFGS,test,4.487099e-05,0.00022335388,0.00026822486
49,LBFGS,train,4.494718e-05,0.00022008622,0.0002650334
