time_label,frame_number,frame_in_seconds,frame_in_hours,time_label_in_seconds
17h16,0,60720,16.866666666666667,60720
17h18,1,61020,16.95,61020
17h21,2,61380,17.05,61380
17h23,3,61740,17.15,61740
17h26,4,62040,17.233333333333334,62040
17h28,5,62400,17.333333333333332,62400
17h31,6,62700,17.416666666666668,62700
17h33,7,63060,17.516666666666666,63060
17h36,8,63360,17.6,63360
17h38,9,63360,17.6,63360
17h41,10,63720,17.7,63720
17h46,11,64020,17.783333333333335,64020
17h51,12,64380,17.883333333333333,64380
17h56,13,64740,17.983333333333334,64740
18h01,14,65040,18.066666666666666,65040
18h06,15,65400,18.166666666666668,65400
18h11,16,65700,18.25,65700
18h16,17,66060,18.35,66060
18h21,18,66360,18.433333333333334,66360
18h26,19,66360,18.433333333333334,66360
18h31,20,66720,18.533333333333335,66720
18h36,21,67020,18.616666666666667,67020
18h41,22,67380,18.716666666666665,67380
18h46,23,67740,18.816666666666666,67740
18h51,24,68040,18.9,68040
18h56,25,68400,19.0,68400
19h01,26,68700,19.083333333333332,68700
19h06,27,69060,19.183333333333334,69060
19h11,28,69360,19.266666666666666,69360
19h16,29,69360,19.266666666666666,69360
19h21,30,69720,19.366666666666667,69720
19h26,31,70020,19.45,70020
19h31,32,70380,19.55,70380
19h36,33,70740,19.65,70740
19h41,34,71040,19.733333333333334,71040
19h46,35,71400,19.833333333333332,71400
19h51,36,71700,19.916666666666668,71700
19h56,37,72060,20.016666666666666,72060
20h01,38,72360,20.1,72360
20h06,39,72360,20.1,72360
20h11,40,72720,20.2,72720
20h16,41,73020,20.283333333333335,73020
20h21,42,73380,20.383333333333333,73380
20h26,43,73740,20.483333333333334,73740
20h31,44,74040,20.566666666666666,74040
20h36,45,74400,20.666666666666668,74400
20h41,46,74700,20.75,74700
20h46,47,75060,20.85,75060
20h51,48,75360,20.933333333333334,75360
20h56,49,75360,20.933333333333334,75360
21h01,50,75720,21.033333333333335,75720
21h06,51,76020,21.116666666666667,76020
21h11,52,76380,21.216666666666665,76380
21h16,53,76740,21.316666666666666,76740
21h21,54,77040,21.4,77040
21h26,55,77400,21.5,77400
21h31,56,77700,21.583333333333332,77700
21h36,57,78060,21.683333333333334,78060
21h41,58,78360,21.766666666666666,78360
21h46,59,78360,21.766666666666666,78360
21h51,60,78720,21.866666666666667,78720
21h56,61,79020,21.95,79020
22h01,62,79380,22.05,79380
22h06,63,79740,22.15,79740
22h11,64,80040,22.233333333333334,80040
22h16,65,80400,22.333333333333332,80400
22h21,66,80700,22.416666666666668,80700
22h26,67,81060,22.516666666666666,81060
22h31,68,81360,22.6,81360
22h36,69,81360,22.6,81360
22h41,70,81720,22.7,81720
22h46,71,82020,22.783333333333335,82020
22h51,72,82380,22.883333333333333,82380
22h56,73,82740,22.983333333333334,82740
23h01,74,83040,23.066666666666666,83040
23h06,75,83400,23.166666666666668,83400
23h11,76,83700,23.25,83700
23h16,77,84060,23.35,84060
23h21,78,84360,23.433333333333334,84360
23h26,79,84360,23.433333333333334,84360
23h31,80,84720,23.533333333333335,84720
23h36,81,85020,23.616666666666667,85020
23h41,82,85380,23.716666666666665,85380
23h46,83,85740,23.816666666666666,85740
23h51,84,86040,23.9,86040
23h56,85,86400,24.0,86400
24h01,86,86700,24.083333333333332,86700
24h06,87,87060,24.183333333333334,87060
24h11,88,87060,24.183333333333334,87060
24h15,89,87360,24.266666666666666,87360
24h20,90,87720,24.366666666666667,87720
24h25,91,88020,24.45,88020
24h30,92,88380,24.55,88380
24h35,93,88740,24.65,88740
24h40,94,89040,24.733333333333334,89040
24h45,95,89400,24.833333333333332,89400
24h50,96,89700,24.916666666666668,89700
24h55,97,90060,25.016666666666666,90060
25h00,98,90060,25.016666666666666,90060
25h05,99,90360,25.1,90360
25h10,100,90720,25.2,90720
25h15,101,91020,25.283333333333335,91020
25h20,102,91380,25.383333333333333,91380
25h25,103,91740,25.483333333333334,91740
25h30,104,92040,25.566666666666666,92040
25h35,105,92400,25.666666666666668,92400
25h40,106,92700,25.75,92700
25h45,107,93060,25.85,93060
25h50,108,93060,25.85,93060
25h55,109,93360,25.933333333333334,93360
26h00,110,93720,26.033333333333335,93720
26h05,111,94020,26.116666666666667,94020
26h10,112,94380,26.216666666666665,94380
26h15,113,94740,26.316666666666666,94740
26h20,114,95040,26.4,95040
26h25,115,95400,26.5,95400
26h30,116,95700,26.583333333333332,95700
26h35,117,96060,26.683333333333334,96060
26h40,118,96060,26.683333333333334,96060
26h45,119,96360,26.766666666666666,96360
26h50,120,96720,26.866666666666667,96720
26h55,121,97020,26.95,97020
27h00,122,97380,27.05,97380
27h05,123,97740,27.15,97740
27h10,124,98040,27.233333333333334,98040
27h15,125,98400,27.333333333333332,98400
27h20,126,98700,27.416666666666668,98700
27h25,127,99060,27.516666666666666,99060
27h30,128,99060,27.516666666666666,99060
27h35,129,99360,27.6,99360
27h40,130,99720,27.7,99720
27h45,131,100020,27.783333333333335,100020
27h50,132,100380,27.883333333333333,100380
27h55,133,100740,27.983333333333334,100740
28h00,134,101040,28.066666666666666,101040
28h05,135,101400,28.166666666666668,101400
28h10,136,101700,28.25,101700
28h15,137,102060,28.35,102060
28h20,138,102060,28.35,102060
28h25,139,102360,28.433333333333334,102360
28h30,140,102720,28.533333333333335,102720
28h35,141,103020,28.616666666666667,103020
28h40,142,103380,28.716666666666665,103380
28h45,143,103740,28.816666666666666,103740
28h50,144,104040,28.9,104040
28h55,145,104400,29.0,104400
29h00,146,104700,29.083333333333332,104700
29h05,147,105060,29.183333333333334,105060
29h10,148,105060,29.183333333333334,105060
29h15,149,105360,29.266666666666666,105360
29h20,150,105720,29.366666666666667,105720
29h25,151,106020,29.45,106020
29h30,152,106380,29.55,106380
29h35,153,106740,29.65,106740
29h40,154,107040,29.733333333333334,107040
29h45,155,107400,29.833333333333332,107400
29h50,156,107700,29.916666666666668,107700
29h55,157,108060,30.016666666666666,108060
30h00,158,108060,30.016666666666666,108060
30h05,159,108360,30.1,108360
30h10,160,108720,30.2,108720
30h15,161,109020,30.283333333333335,109020
30h20,162,109380,30.383333333333333,109380
30h25,163,109740,30.483333333333334,109740
30h30,164,110040,30.566666666666666,110040
30h35,165,110400,30.666666666666668,110400
30h40,166,110700,30.75,110700
30h43,167,111060,30.85,111060
30h45,168,111060,30.85,111060
30h48,169,111360,30.933333333333334,111360
30h50,170,111720,31.033333333333335,111720
30h53,171,112020,31.116666666666667,112020
30h56,172,112380,31.216666666666665,112380
30h58,173,112740,31.316666666666666,112740
31h01,174,113040,31.4,113040
31h03,175,113400,31.5,113400
